Chinese,Pinyin,English,Book,Lesson,Section
陳月美,Chén Yuèměi,a woman from Vietnam,1,1,1
李明華,Lǐ Mínghuá,a man from Taiwan,1,1,1
王開文,Wáng Kāiwén,a man from the US,1,1,1
你,nǐ,(N) you,1,1,1
來,lái,(V) to come,1,1,1
是,shì,(Vst) to be,1,1,1
小姐,xiǎojiě,"(N) Miss, Ms",1,1,1
嗎,ma,(Ptc) sentence final particle,1,1,1
接,jiē,(V) to pick sb up,1,1,1
我們,wǒmen,"(N) we, us",1,1,1
我,wǒ,"(N) I, me",1,1,1
這,zhè,(Det) this,1,1,1
先生,xiānshēng,(N) Mr,1,1,1
好,hǎo,"(Vs) fine, well",1,1,1
姓,xìng,(Vst) to be surnamed,1,1,1
叫,jiào,"(Vst) to be called, i.e., to have the first name xx",1,1,1
你們,nǐmen,(N) you (plural),1,1,1
臺灣/台灣,Táiwān,Taiwan,1,1,1
歡迎,huānyíng,welcome,1,1,1
請問,qǐngwèn,"May I ask you... Excuse me,",1,1,1
是的,shìde,,1,1,1
謝謝,xièxie,Thank you,1,1,1
不客氣,búkèqì,You're welcome,1,1,1
你好,Nǐ hǎo,How are you? Hello,1,1,1
請,qǐng,(V) please,1,1,2
喝,hē,(V) to drink,1,1,2
茶,chá,(N) tea,1,1,2
很,hěn,(Adv) very,1,1,2
好喝,hǎohē,(Vs) (lit. good to drink) to taste good,1,1,2
什麼,shénme,(N) what,1,1,2
人,rén,"(N) person, people",1,1,2
喜歡,xǐhuān,(Vst) to like,1,1,2
呢,ne,(Ptc) sentence final particle,1,1,2
他,tā,"(N) he, him",1,1,2
不,bù,(Adv) not,1,1,2
哪,nǎ,(Det) which,1,1,2
要,yào,(Vaux) to want to,1,1,2
咖啡,kāfēi,(N) coffee,1,1,2
烏龍茶,Wūlóngchá,Oolong tea,1,1,2
日本,Rìběn,Japan,1,1,2
美國,Měiguó,America,1,1,2
對不起,duìbùqǐ,I am sorry,1,1,2
哪國,nǎguó,Which country?,1,1,2
張怡君,Zhāng Yíjūn,a woman from Taiwan,1,2,1
馬安同,Mǎ āntóng,a man from the Republic of Honduras,1,2,1
的,de,(Ptc ) modification marker,1,2,1
家人,jiārén,(N) family (members),1,2,1
家,jiā,"(N) home, house",1,2,1
漂亮,piàoliàng,(Vs) pretty,1,2,1
房子,fángzi,(N) house,1,2,1
坐,zuò,(Vi) to sit,1,2,1
好,hǎo,(Ptc) OK,1,2,1
有,yǒu,(Vst) to have,1,2,1
多,duō,(Vs-pred) many,1,2,1
照片,zhàopiàn,(N) photo,1,2,1
都,dōu,"(Adv) all, both",1,2,1
照相,zhàoxiàng,(V-sep) to take a photo,1,2,1
張,zhāng,"(M) measure word for flat objects (e.g., paper,",1,2,1
好看,hǎokàn,(Vs) good-looking,1,2,1
誰,shéi,(N) who,1,2,1
姐姐,jiějie,(N) older sister,1,2,1
妹妹,mèimei,(N) younger sister,1,2,1
爸爸,bàba,(N) dad,1,2,1
媽媽,māma,(N) mom,1,2,1
請進,qǐng jìn,Please come in!,1,2,1
田中誠一,Tiánzhōng Chéngyī,(a Japanese name (male)),1,2,2
伯母,bómǔ,(N) aunt; here a polite term for a friends' mothers regardless of,1,2,2
您,nín,(N) you (honorific),1,2,2
名字,Míngzi,(N) name,1,2,2
書,shū,(N) book,1,2,2
哥哥,gēge,(N) older brother,1,2,2
老師,lǎoshī,(N) teacher,1,2,2
看書,kànshū,(V-sep) to read,1,2,2
幾,jǐ,(N) how many,1,2,2
個,ge,(M) general measure word,1,2,2
沒,méi,(Adv) not,1,2,2
兄弟,xiōngdì,(N) brothers,1,2,2
姐妹,jiěmèi,(N) sisters,1,2,2
五,wǔ,(N) five,1,2,2
兩,liǎng,(N) two,1,2,2
週末,zhōumò,(N) weekend,1,3,1
聽,tīng,(V) to listen,1,3,1
音樂,yīnyuè,(N) music,1,3,1
運動,yùndòng,(Vi) to exercise,1,3,1
打,dǎ,(V) to play (ball games),1,3,1
網球,wǎngqiú,(N) tennis,1,3,1
棒球,bàngqiú,(N) baseball,1,3,1
和,hàn,"(Conj) and, as well as",1,3,1
游泳,yóuyǒng,(V-sep) to swim,1,3,1
常,cháng,(Adv) often,1,3,1
籃球,lánqiú,(N) basketball,1,3,1
也,yě,(Adv) also,1,3,1
踢,tī,(V) to kick,1,3,1
足球,zúqiú,(N) soccer,1,3,1
覺得,juéde,"(Vst) to feel, to think",1,3,1
好玩,hǎowán,"(Vs) Interesting, fun",1,3,1
明天,míngtiān,(N) tomorrow,1,3,1
早上,zǎoshàng,(N) morning,1,3,1
去,qù,(V) to go,1,3,1
怎麼樣,zěnmeyàng,(Vs) How about it? How does that sounds? What do you think?,1,3,1
啊,a,(Ptc) sentence-final particle,1,3,1
做什麼,zuò shénme,do what,1,3,1
好啊,hǎoa,OK,1,3,1
白如玉,Bái Rúyù,a woman from the US,1,3,2
今天,jīntiān,(N) today,1,3,2
晚上,wǎnshàng,"(N) evening, night",1,3,2
看,kàn,"(V) to see, to watch",1,3,2
電影,diànyǐng,(N) movie,1,3,2
妳,nǐ,(N) you (female),1,3,2
想,xiǎng,"(Vaux) to want, to think",1,3,2
還是,háishì,(Conj) or (used in a question),1,3,2
吧,ba,(Ptc) sentence-final particle for suggestion,1,3,2
可以,kěyǐ,(Vaux) could (possibility),1,3,2
學,xué,"(V) to learn, to study",1,3,2
中文,Zhōngwén,(N) Chinese language,1,3,2
一起,yìqǐ,(Adv) together,1,3,2
吃,chī,(V) to eat,1,3,2
晚飯,wǎnfàn,(N) dinner,1,3,2
菜,cài,(N) cuisine,1,3,2
越南,Yuènán,Vietna m,1,3,2
好不好,hǎobùhǎo,How about...? How does that sound?,1,3,2
一共,yígòng,(Adv) altogether,1,4,1
多少,duōshǎo,"(N) how much, how many",1,4,1
錢,qián,(N) money,1,4,1
老闆,lǎobǎn,"(N) store-owner, boss",1,4,1
買,mǎi,(V) to buy,1,4,1
杯,bēi,(M) cup,1,4,1
熱,rè,(Vs) hot,1,4,1
包子,bāozi,(N) steamed buns with meat stuffing filling,1,4,1
要,yào,"(V) to want, to need",1,4,1
大,dà,(Vs) large,1,4,1
中,zhōng,(Vs-attr) medium,1,4,1
小,xiǎo,(Vs) small,1,4,1
幫,bāng,(Prep) for,1,4,1
微波,wéibō,(V) to microwave,1,4,1
